200.0,petrol,2025-05-07,
140.0,tiffin,2025-05-06,
140.0,tiffin,2025-05-05,
100.0,drinking water,2025-05-05,
100.0,drinking water,2025-05-17,
530.0,fish,2025-05-18,
80.0,bakery,2025-05-19,veg puffs and dilpasandh
80.0,bakery,2025-05-12,veg puffs and dilpasandh
71.0,rapido,2025-05-11,rapido auto
73.0,rapido,2025-05-11,rapido auto
140.0,bakery,2025-05-09,deepak cake
110.0,petrol,2025-05-04,1
100.0,petrol,2025-05-01,
200.0,petrol,2025-05-12,
105.0,tiffin,2025-05-21,
6062.5,dmart,2025-05-11,groceries
60.0,dmart,2025-05-11,softies
1286.0,electricty bill,2025-05-11,current bill
81.0,electricty bill,2025-05-11,water electricity bill
85.0,medicine,2025-05-21,m(backp T)
60.0,fast food,2025-05-21,
50.0,petrol,2025-05-21,
16.0,print out/xerox,2025-05-21,
